Date,Open,High,Low,Close,Volume
2016-10-23,10544.69,10748.41,10491.28,10710.73,421944116
2016-10-30,10743.87,10827.72,10583.57,10696.19,407452297
2016-11-06,10658.67,10730.48,10212.53,10259.13,416769519
2016-11-13,10410.56,10793.97,10174.92,10667.95,661494758
2016-11-20,10750.62,10802.39,10604.32,10664.56,545784359
2016-11-27,10697.95,10767.73,10595.14,10699.27,371793551
2016-12-04,10655.92,10691.67,10402.59,10513.35,446824807
2016-12-11,10494.64,11231.69,10493.62,11203.63,685675239
2016-12-18,11198.42,11451.57,11141.86,11404.01,617122133
2016-12-25,11384.03,11480.18,11380.12,11449.93,332462455
2017-01-01,11457.91,11481.66,11404.82,11481.06,164901742
2017-01-08,11426.38,11637.37,11414.82,11599.01,371188741
2017-01-15,11606.89,11692.27,11491.87,11629.18,455335822
2017-01-22,11537.45,11644.88,11425.14,11630.13,439274838
2017-01-29,11545.97,11893.08,11508.83,11814.27,452116901
2017-02-05,11786.31,11792.33,11535.31,11651.49,458774023
2017-02-12,11628.03,11711.55,11479.78,11666.97,455069118
2017-02-19,11697.99,11848.04,11684.91,11757.02,409655566
2017-02-26,11831.71,12031.11,11722.35,11804.03,402610107
2017-03-05,11858.14,12082.59,11780.83,12027.36,433239039
2017-03-12,11956.81,12067.07,11917.78,11963.18,493883253
2017-03-19,11954.8,12156.44,11930.38,12095.24,607190130
2017-03-26,12050.81,12111.24,11850.27,12064.27,538690553
2017-04-02,11957.65,12313.29,11916.07,12312.87,490735432
2017-04-09,12368.82,12375.58,12119.04,12225.06,444098937
2017-04-16,12244.5,12246.88,12049.93,12109,294980588
2017-04-23,12135.61,12162.47,11941.57,12048.57,370680062
2017-04-30,12296.56,12486.29,12289.37,12438.01,585782180
2017-05-07,12478.46,12718.66,12433.51,12716.89,382994086
2017-05-14,12758.48,12783.23,12659.7,12770.41,534788055
2017-05-21,12824.05,12841.66,12489.95,12638.69,521782690
2017-05-28,12664.97,12703.74,12529.51,12602.18,375127604
2017-06-04,12588.8,12878.59,12567.22,12822.94,434294626
2017-06-11,12768.46,12821.03,12640.52,12815.72,422943192
2017-06-18,12760.39,12921.17,12620.9,12752.73,628083606
2017-06-25,12849.99,12951.54,12677.4,12733.41,386317468
2017-07-02,12783.89,12841.31,12319,12325.12,513586618
2017-07-09,12396.34,12496.82,12316.43,12388.68,428502238
2017-07-16,12464.96,12676.52,12406.2,12631.72,398137795
2017-07-23,12652.37,12656.13,12190.89,12240.06,466107069
2017-07-30,12228.63,12341.03,12098.57,12162.7,447082396
2017-08-06,12141.53,12321.98,12092.06,12297.72,447275233
2017-08-13,12305.74,12336,11934.92,12014.06,449182699
2017-08-20,12100.17,12301.4,12080.74,12165.19,375953906
2017-08-27,12105.72,12269.92,12021.7,12167.94,330797540
2017-09-03,12105.49,12191.23,11868.84,12142.64,352337205
2017-09-10,12051.8,12363.6,12050.53,12303.98,358222002
2017-09-17,12381.52,12565.85,12381.33,12518.81,532819957
2017-09-24,12593.55,12646.56,12518.22,12592.35,424266711
2017-10-01,12573.35,12828.86,12551.87,12828.86,434461945
2017-10-08,12866.27,12993.53,12849.59,12955.94,349965644
2017-10-15,12975.86,13036.74,12909.28,12991.87,351953453
2017-10-22,13017.18,13094.76,12911.58,12991.28,358253489
2017-10-29,13014.57,13249.03,12931.22,13217.54,476356535
2017-11-05,13227.85,13505.01,13214.6,13478.86,389759164
2017-11-12,13459.42,13525.56,13111.65,13127.47,551734874
2017-11-19,13150.78,13163.94,12847.88,12993.73,542368738
2017-11-26,12932.81,13209.01,12921.15,13059.84,416681006
2017-12-03,13036.74,13196.15,12810.13,12861.49,476529773
2017-12-10,13038.77,13240.92,12864.68,13153.7,444450018
2017-12-17,13181.85,13192.42,13008.07,13103.56,587675995
2017-12-24,13211.63,13338.91,13013.63,13072.79,380978753
2017-12-31,13070.19,13128.74,12911.73,12917.64,133657049
2018-01-07,12897.69,13332.8,12745.15,13319.64,395251620
2018-01-14,13399.62,13425.02,13151.84,13245.03,522014272
2018-01-21,13244.37,13445.47,13137.51,13434.45,441763195
2018-01-28,13435.14,13596.89,13222.47,13340.17,492371467
2018-02-04,13358.9,13370.02,12782.07,12785.16,584682813
2018-02-11,12687.79,12752.6,12003.36,12107.48,823428112
2018-02-18,12238.63,12484.12,12075.21,12451.96,576930376
2018-02-25,12495.07,12513.32,12283.7,12483.79,451602949
2018-03-04,12566.05,12601.46,11877.66,11913.71,508757293
2018-03-11,11831.57,12407.98,11830.98,12346.68,514937763
2018-03-18,12453.3,12459.9,12162.47,12389.58,711098936
2018-03-25,12346.51,12369.77,11818.7,11886.31,578200458
2018-04-01,11919.64,12151.31,11726.62,12096.73,435155027
2018-04-08,11997.47,12322.37,11792.35,12241.27,410052497
2018-04-15,12311.02,12523.97,12205.39,12442.4,446169309
